context,prompt,utterance
neutral,My parents are concerned,Hi [B-PER]_comma_ it's your mom_period_ we watched the news_comma_ and we know you're going to be getting a storm_period_ Please be safe and stay at home_period_ We hope someone is going to be with you at home_period_ We love you_period_
positive,I'm not alone,Thank you_comma_ luckily I have a friend that will be here in the morning_period_ Love you guys_comma_ goodnight_period_
neutral,They want me to text if I need anything,Okay_comma_ good_comma_ please text us if you need anything_period_ Goodnight_period_
neutral,Parents concerned about the storm,Hey [B-PER]_comma_ it's your dad_period_ we saw the news and know you'll be facing a storm_period_ Stay safe and stay home_period_ We hope there's someone with you_period_ We love you_period_
positive,I'm not alone,Thanks_comma_ I'm fortunate to have a friend coming over tomorrow morning_period_ Love you too_comma_ goodnight_period_
neutral,They want me to text if I need anything,That's good to hear_period_ If you need anything_comma_ don't hesitate to text us_period_ Goodnight_period_
neutral,Parents checking in,Hi [B-PER]_comma_ it's mom and dad_period_ we were watching the news_comma_ and we're aware of the incoming storm_period_ Make sure you stay safe and stay home_period_ We hope you have someone with you_period_ We love you_period_
positive,I'm not alone,Thanks_comma_ I'm lucky to have a friend coming in the morning_period_ Love you guys_comma_ goodnight_period_
neutral,They want me to text if I need anything,That's a relief_period_ Remember_comma_ if you need anything_comma_ just text us_period_ Have a good night's sleep_period_ Goodnight_period_
positive,My cat is like family,I have a cat [B-PER] who is really like family_period_
positive,My cat follows me,I called my cat [B-PER] to come to bed with me_period_ After a minute or so_comma_ she strolled into the bedroom_period_
positive,She sleeps with me,Yes_comma_ she likes being close as she relaxes_period_
positive,She stays until I settle,She will lay down next to my left side so I can pet her when she doesn't want me rubbing her anymore_period_
positive,My cat is like family,I have a cat [B-PER] who is really like family_period_
positive,She comes when I call,I called out "[B-PER] come to bed"_period_ After a minute or so_comma_ [B-PER] came strolling into the bedroom_period_
positive,She’s attentive,She's very attentive_period_ She comes when I call_comma_ especially when I go to bed_period_
positive,She stays until I settle,Eventually_comma_ she settles down next to my left side_comma_ allowing me to pet her_period_
positive,My cat listens to me,I don't need to_ I have a cat [B-PER] and she listens to me_period_
positive,My cat comes when I call,After a short while_comma_ [B-PER] strolled into the bedroom_period_
positive,She’s part of my routine,Once we both settled in bed_comma_ she always jumps up and walks around my head_period_
positive,She settles by my side,Soon_comma_ she finds a spot next to my left side_comma_ seeking pets_period_
positive,Excited about [B-PER] coming,I was too excited about [B-PER] coming over for a few days_period_
neutral,Thought about how to greet her,So instead of sleeping_comma_ you got up to think about how to greet [B-PER]_period_
positive,She reacted to me waking up,I jumped out of bed_comma_ and [B-PER] reacted quickly_comma_ her hair standing straight up_period_
positive,Reassuring her,Sensing her unease_comma_ I reassured her_comma_ "It's okay_comma_ [B-PER]_period_ I just need to think of something to say to [B-PER] when she arrives_comma_ maybe a pickup line."_
neutral,Researched a pickup line,Pickup line?_period_ I researched the [B-MISC] on "how to pick up girls"_period_
positive,Excitement kept me awake,The anticipation of [B-PER]'s visit had me too excited_period_
neutral,Thought about greeting her,So instead of sleeping_comma_ you got up to think about how to greet [B-PER]_period_
positive,She reacted to my sudden awakening,I jumped out of bed_comma_ and [B-PER] reacted quickly_comma_ her hair standing straight up_period_
positive,Reassured her,As I got out of bed_comma_ [B-PER] leaped up in surprise_comma_ her hair standing on end_period_ Seeing her reaction_comma_ I reassured her_comma_ "Don't worry_comma_ [B-PER]_period_ I just need to come up with something to say to [B-PER] when she arrives_comma_ maybe a clever pickup line."_
neutral,How to come up with a good pickup line,How do you come up with a good pickup line?_period_
neutral,Looked it up,I Googled "Pick up lines"_period_
positive,Excitement kept me awake,The excitement of [B-PER]'s upcoming visit kept me awake_period_
neutral,Thought about greeting her,So instead of sleeping_comma_ you got up to think about how to greet [B-PER]_period_
positive,She reacted to my sudden awakening,I jumped out of bed_comma_ and [B-PER] reacted quickly_comma_ her hair standing straight up_period_
positive,Reassured her,I reassured her_comma_ "Don't worry_comma_ [B-PER]_period_ I just need to come up with something to say to [B-PER] when she arrives_comma_ maybe a clever pickup line."_
neutral,Considered a pickup line,Were you serious about a witty pickup line to greet [B-PER]?_period_
neutral,Researched pickup lines,I researched the [B-MISC] on "good pickup lines"_period_
neutral,Late night thoughts,I checked the clock; it was 2:37 am.. I thought_comma_ "Oh damn_comma_ I'll be tired tomorrow_comma_ and [B-PER] is coming in about six and a half hours!"_period_
neutral,You both stayed up late,So you and [B-PER] both were up late_period_
positive,She wanted to follow me,As I went to my bathroom_comma_ [B-PER]_comma_ of course_comma_ wanted to come into the bathroom with me_period_
neutral,She acts human-like,[B-PER] sounds very human like_period_
positive,She watches me,Glancing at [B-PER]_comma_ I noticed she was sitting in the doorway_comma_ staring at me.. I assumed she was curious and confused about why I was up at such an hour_period_
neutral,We talk,So you carry on conversations with [B-PER]?_period_
positive,She wants me to rest,I said to her_comma_ "I should go to bed because I know I'll be tired tomorrow_comma_ but I think I should take a shower first."_period_ I won't have time in the morning before [B-PER] arrives_period_
neutral,Late night thoughts,I checked the clock; it was 2:37 am.. I thought_comma_ "Oh damn_comma_ I'll be tired tomorrow_comma_ and [B-PER] is coming in about six and a half hours!"_period_
positive,She keeps me company,For a while now_comma_ every time I go to the bathroom_comma_ [B-PER] races to the door_comma_ trying to beat it before it shuts so that she doesn't have to be alone_period_ It's something I can relate to_period_
neutral,She acts human-like,[B-PER] sounds very human like_period_
positive,She gives advice,She has definite facial expressions that signal what she is thinking_period_
neutral,She listens to me,Does [B-PER] look like she's giving you advice?_period_
positive,Talking to her,I addressed her_comma_ "I should go to bed to ensure I'm not too tired tomorrow_period_ However_comma_ I think it's a good idea to take a shower now."_period_
neutral,Late night thoughts,I checked the clock; it was 2:37 am.. I thought_comma_ "Oh damn_comma_ I'll be tired tomorrow_comma_ and [B-PER] is coming in about six and a half hours!"_period_
positive,She keeps me company,As I went to my bathroom_comma_ [B-PER]_comma_ of course_comma_ wanted to come into the bathroom with me_period_ For a while now_comma_ every time I go to the bathroom_comma_ [B-PER] races to the door_comma_ trying to beat it before it shuts so that she doesn't have to be alone_period_ It's something I can relate to_period_
positive,Relating to her need for company,[B-PER] sounds like she is subject to your moods_comma_ as you are_period_
neutral,Relating to not wanting to be alone,You can relate to not wanting to be alone?_period_
positive,We have each other,I'm glad [B-PER] and I have each other_period_
neutral,Showering late,So you decided to shower at 3am?_period_
neutral,No time in the morning,I won't have time in the morning before [B-PER] gets here_period_
positive,Best friends,It seems you and [B-PER] are each other's best friends_period_
neutral,She watches me shower,As I'm in the shower_comma_ I peek out and see [B-PER] curled up with the floor mat_period_ She notices me and jumps on the side of the bathtub_comma_ pacing back and forth_period_
positive,She gives back,Yes_period_ Turning my head_comma_ I lock eyes with [B-PER]_comma_ and she gives me a little kiss on the nose_period_
neutral,Watch out for her,And you watch out for her so she's not in the way_period_
positive,Respect for her space,I wait for her to jump off the side of the bathtub before turning on the water to avoid scaring her_period_
neutral,Self-care,You can provide basic self care without help_period_ How about showering?_period_
positive,Self-sufficient,I dio so myself_period_ When I finish showering_comma_ I grab my towel to dry off_period_
neutral,Showering late,So now it's the middle of the night and you're showering so that you'll be fresh when [B-PER] arrives_period_
neutral,She watches me shower,As I'm in the shower_comma_ I peek out and see [B-PER] curled up with the floor mat_period_ She notices me and jumps on the side of the bathtub_comma_ pacing back and forth_period_
positive,She gives back,Pets are really family members_period_ Does she give as much as she takes?_period_
positive,She surprises me,Turning my head_comma_ I meet [B-PER]'s gaze_comma_ and she surprises me with a little kiss on the front of my nose_period_
neutral,Watch out for her,Do you have to be aware of where [B-PER] is all the time?_period_
positive,Respect for her space,Yes_period_ I even wait for her to hop off the bathtub ledge before turning on the water to avoid startling her_period_
neutral,Did you sleep?,"Did you have time to sleep finally after all that?" 
neutral,Going to sleep,I immediately went to sleep at 3:40_period_
neutral,She follows me,I suppose with [B-PER]_comma_ you never quite feel alone_period_ Does she follow you?_period_
neutral,She watches me shower,As I'm in the shower_comma_ I peek out and see [B-PER] curled up with the floor mat_period_ She notices me and jumps on the side of the bathtub_comma_ pacing back and forth_period_
neutral,Is she approachable?,Is [B-PER] approachable or does she keep her distance? Give an example of your interaction_period_
positive,She gives back,Turning my head_comma_ I meet [B-PER]'s gaze_comma_ and to my surprise_comma_ she plants a tiny kiss on the front of my nose_period_
neutral,Watch out for her,Do you have to be aware of where [B-PER] is all the time?_period_
positive,Respect for her space,Before turning on the water_comma_ I wait for her to jump off the side of the bathtub to avoid scaring her_period_
neutral,Self-care,You can provide basic self care without help_period_ How about showering?_period_
positive,Self-sufficient,After finishing my shower_comma_ I grab my towel to dry off_period_
neutral,Waking up,What time did you wake up on that day and what was happening?_period_
neutral,Alarm woke me up,My alarm woke me up at 8 o'clock_period_ Oh_comma_ I really didn't wanna get out of bed_period_
neutral,Why hard to get up,Why didn't you want to get out of bed?_period_
positive,Cold bed,Well_comma_ my bed is a heated waterbed_period_ It was hard to get up on such a cold day having slept so little_period_
neutral,Getting dressed,So_comma_ what did you do after you managed to get up?_period_
neutral,Had to dress,I needed to get dressed so I found some clothes to wear_period_ 
positive,Excited but tired,I know you were really tired but were you feeling excited?_period_
positive,Excited to see her,Yes! Even when I was napping_comma_ I couldn't stop thinking about how excited I was_period_
neutral,Alarm went off,What time did your alarm go off that morning?_period_
neutral,Too early,It was 8 o'clock_comma_ and it was too early for me_period_
neutral,Hard to get up,It must have been hard to get up that early_period_
positive,Cold morning,Yeah! It was so cold that morning and I only slept for a few hours_period_
neutral,Checking emails,What did you do after you got dressed?_period_
neutral,Morning routine,I like checking emails in the morning_comma_ so that's what I did_period_
neutral,Waiting for [B-PER],Was it time for [B-PER] to come yet?_period_
neutral,Plenty of time,No_comma_ it was still 8:21 am I had so much time to kill_period_
neutral,Alarm woke you up,I think the alarm made you wake up immediately_period_
negative,Didn’t want to wake up,No_comma_ I didn't wanna wake up and I was stirring in my bed for a bit_period_
neutral,Cold outside,I'm sure it was really cold outside_period_
positive,Snowing,Yeah_comma_ I was snowing already_period_ On top of that_comma_ I wasn't wearing any clothes_period_
neutral,Checking emails,Do you like checking your phone or your computer in the morning?_period_
positive,Checking emails,Yeah_comma_ I like checking my emails on my computer_period_
neutral,Wanting to sleep more,I think you wanted to go back to sleep because it was still 8:21 am_period_
positive,Napping,Yeah_comma_ I needed a nap really badly so I went back to bed_period_
neutral,Short sleep,How long did you sleep for [B-PER]?_period_
negative,Interrupted sleep,I could only sleep for a little while because [B-PER] texted me_period_
neutral,What did [B-PER] text?,What did [B-PER] text you?_period_
negative,Disappointment,He basically told me that he couldn't make it this morning_period_
positive,Response to [B-PER],What did you tell [B-PER]?_period_
positive,Gratitude,I told him that I thank god had [B-PER] to help me_period_
neutral,TV watching,What were you watching on TV?_period_
neutral,Weather updates,I was watching the news for weather updates_period_
neutral,Staff check in,Did any of staff check on you that morning?_period_
negative,First to text,[B-PER] was the first one to text me_period_ He apologized and said he wouldn't be able to make it_period_
neutral,Staff not prepared,Why didn't your staff prepare to help you?_period_
negative,Didn’t take snowstorm seriously,Well_comma_ because they didn't take the news of the snowstorm seriously at all_period_
neutral,Anger at staff,Were you mad at your staff?_period_
positive,Grateful for [B-PER],Not really_comma_ because [B-PER] was coming over to help me_period_
neutral,Weather forecast,What was the weather forecast saying?_period_
negative,Scary forecast,It was kind of scary_period_ We were gonna have 3-plus feet of snow_period_
neutral,Staff check in,Did anybody call or text to make sure you were okay?_period_
positive,Text from [B-PER],Yeah_comma_ one of my staff [B-PER] texted me_period_
neutral,Staff help,I'm sure at least one of your staff were coming over to help_period_
negative,Staff didn't take it seriously,No_comma_ none of them took the news of the snowstorm seriously_period_
neutral,Weather updates,Were you checking the weather channel for updates?_period_
negative,Unhelpful updates,Yeah_comma_ but the updates weren't very encouraging_period_
neutral,Why were they bad?,Why? What were they saying?_period_
negative,Bad forecast,They predicted that we were gonna get 3-plus feet of snow_period_
neutral,Arrival time,Did [B-PER] make it exactly at 9:00 AM?_period_
negative,Delay,No_comma_ it was 9:15 and I hadn't even heard from her yet_period_
neutral,Starting to worry,I'm sure you were starting to feel a little worried_period_
positive,Concern for her safety,Oh yes_period_ I was getting worried about her having to drive in the snow_period_
neutral,Passing time,What were you doing to pass the time?_period_
neutral,Getting some rest,I went back to my couch to get some shuteye_period_
neutral,Arrival time,What time did [B-PER] arrive?_period_
neutral,Lost track of time,I think it was 9:30 AM_period_ I kind of lost track of time because I fell asleep_period_
neutral,Wearing something heavy,Were you wearing something heavy to keep you warm?_period_
negative,No shirt,No_comma_ I turned on my fireplace because I didn't have the energy to put on a shirt_period_
neutral,Sitting and waiting,Were you and [B-PER] sitting down and waiting for [B-PER]?_period_
negative,Fell asleep,I couldn't_period_ I fell asleep as soon as I went back to my couch_period_
neutral,Getting to the front door,Did you get to the front door carefully to greet [B-PER]?_period_
positive,Funny moment,It was so funny!_period_ I had no idea how I got to the front door from my couch_period_ I must have been sleep-crawling_period_
neutral,Reaction to being shirtless,What was [B-PER]'s reaction to seeing you shirtless?_period_
positive,Laughing,She was laughing_period_ We were both laughing and having such a good time_period_
neutral,No updates from [B-PER],Did [B-PER]nier text you to give you updates?_period_
negative,No text from [B-PER],No_comma_ it was 9:15 and she hadn't texted me anything!_period_ I was getting worried_period_
neutral,Staying up and waiting,Why didn't you stay up and wait for her?_period_
negative,Tired and cold,Oh it was so cold and I was so tired_period_ I fell asleep super fast_period_
neutral,Delay from snowstorm,Did [B-PER] get really delayed from the snowstorm?_period_
positive,30 minutes late,A little_period_ She made it about 30 minutes late_period_
neutral,First greeting,What was the first thing [B-PER] said to you?_period_
positive,Good morning greeting,She greeted me good morning with a big smile on her face_period_
neutral,Cold feeling,I'm sure you felt really cold_period_
positive,Shivering,Yes!_period_ I was shivering when the cold air came in through the door_period_
neutral,Main way to communicate,What's the main way you like to communicate?_period_
positive,Air-writing,I air-write_period_ I spell out words with my arm letter by letter_period_
neutral,Frustration with air-writing,Does air-writing ever make you feel frustrated?_period_
positive,Patience,It does at times_period_ But I try to keep calm and patient_period_
neutral,Use of [B-MISC]C device,Do you have an [B-MISC]C device?_period_
positive,Helpful device,I do_period_ And it's helpful to me to type out longer things_period_
neutral,Frustration when talking,Do you ever feel frustrated when you talk to people?_period_
positive,Short conversations,Yes_period_ because I have so much to say but I always have to keep it short_period_
neutral,Use of device,Do you use anything besides air-writing?_period_
positive,Using [B-MISC]C device,Yes_period_ I have an [B-MISC]C device which helps me type out longer things_period_
neutral,Message to [B-PER],What did you say to [B-PER] with your device?_period_
positive,Make yourself at home,I told her to make herself at home because we might be stuck here for a few days_period_
neutral,Change in appearance,What difference did you notice with [B-PER]'s hair?_period_
positive,Blonde hair,She had changed her hair color to blonde_period_
neutral,Message by air-writing,What did you say to [B-PER] by air-writing?_period_
positive,Simple greeting,Oh I just told her hi and asked her to come in_period_
neutral,Location of device,Where was your augmentation device?_period_
positive,Near the TV,It was hooked up near the TV_period_
neutral,B-PER's outfit,What was [B-PER] wearing under her coat?_period_
positive,Black robe,She was wearing a black robe_period_
positive,Feeling happy,Were you feeling happy to see [B-PER]?_period_
positive,Feeling special,She made me feel so special because she dyed her hair blonde for me_period_
neutral,Looking at [B-PER],Why did you keep looking at [B-PER]?_period_
positive,Noticing a change,Because I knew something else was different about her_period_ I really couldn't figure it out_period_
neutral,Staff situation,Did you tell [B-PER] about your staff situation?_period_
positive,Staff calling off,Yes_period_ I told her that all of them had called off_period_
neutral,[B-PER]'s response,What did she think about that?_period_
positive,Smart girl,She said she had an idea that was going to happen_period_ She is a smart girl_period_
neutral,Offering help,Did she offer to do anything?_period_
positive,Making juice,Yeah she said she was going to make me some juice_period_
neutral,Staff situation,What did you tell [B-PER] about your staff?_period_
positive,Staff calling off,I told her that all of my staff had called off_period_
neutral,[B-PER]'s surprise,Was [B-PER] surprised to hear that?_period_
negative,Not surprised,No_period_ she knew that was gonna happen_period_ That's why she came over_period_
neutral,Getting dressed quickly,Why did she want you to get dressed so quickly?_period_
positive,Freezing,Because she could tell I was freezing_period_
neutral,Bags location,Where did you want [B-PER] to keep her bags?_period_
positive,Keeping bags in the room,I told her to keep them in my room because I know upstairs was too cold_period_
neutral,[B-PER]'s reason to visit,What did [B-PER] say about why she wanted to come over?_period_
positive,Staff unpreparedness,She knew that my staff were not gonna be prepared to be here_period_
neutral,Shirt for you,Where did she go to find a shirt for you?_period_
positive,Looking in your room,She went to my room and looked into my closet_period_
neutral,Offering help,Did [B-PER] offer to do anything to cheer you up?_period_
positive,Making juice,Yeah_comma_ she wanted to make me some fresh juice_period_
neutral,Bags location,Why did you want her to keep her bags in your room?_period_
positive,Cold upstairs,I knew that upstairs would have been too cold for her_period_
neutral,In the room,What did [B-PER] do when she got to your room?_period_
positive,Removing robe,She took off her robe and put it on my bed_period_
neutral,Going to the kitchen,Where did [B-PER] ask you to go?_period_
positive,Going to the kitchen,She wanted me to go to the kitchen with her_period_
neutral,In the kitchen,What did you guys do in the kitchen?_period_
positive,Chatting,We sat down and started to chat about things_period_
neutral,Distance from [B-PER],How far did [B-PER] live from you?_period_
positive,10 minutes away,She lived about 10 minutes away_period_
neutral,Looking at [B-PER]'s clothes,Were you looking at what [B-PER] was wearing?_period_
positive,Adorable pajamas,Yeah_comma_ she had on adorable pajamas_period_
neutral,Leaving the bedroom,Where did you two go after the bedroom?_period_
positive,Going to the kitchen,She went to the kitchen and I followed her there_period_
neutral,Drive to your house,Did she say anything about her drive to your house?_period_
positive,Tough drive,Yeah_comma_ she said it was pretty rough_period_ The roads were very hard to see_period_
neutral,Long drive,It must have taken her a while to drive to your place?_period_
positive,50-minute drive,Yeah_comma_ it took her 50 minutes when it's usually a 10 minute drive_period_
neutral,Teams in the game,How many teams did you play against when playing hockey?_period_
positive,Split into two teams,Just one because we split up into two teams_period_
neutral,[B-PER] on your team,Was [B-PER] on your team when you played?_period_
positive,B-PER on the team,Yes_comma_ [B-PER] asked to be on my team because I was a good goalie_period_
neutral,Friendship status,Were you and [B-PER] friends at this point?_period_
positive,Friendliness,Yes_comma_ he was so friendly to me from the start he was the best_period_
neutral,[B-PER]'s approach,How did you feel about him coming up to you?_period_
positive,Confusion at first,I was confused at first but he said it's because he thought I was cool_period_
neutral,Starting the game,How did your first hockey game start?_period_
positive,Team division,Everyone wanted to play so we made two teams_period_
neutral,Team members,Who was on your team?_period_
positive,[B-PER] on the team,[B-PER] and some other kids from school_period_
neutral,Asking to be on the team,Did you ask to be on [B-PER]'s team?_period_
positive,B-PER's request,No he asked me because of my awesome goalie skills_period_
neutral,Feeling about [B-PER]'s approach,Were you happy [B-PER] came up to you when he first saw you?_period_
positive,Kindness,Yes_comma_ because he was very kind to me from the start. He just wanted to make a friend_period_
neutral,Gathering the team,How did you gather a team for hockey?_period_
positive,Interest in playing,Everyone saw [B-PER] and I playing and everyone seemed like they wanted to play_period_
neutral,Team division,How did you guys divide the teams?_period_
positive,Teams division,We divided into two teams and [B-PER] was on my team_period_
neutral,[B-PER] knowing skills,Wow [B-PER] really liked you. Did [B-PER] know how good you were at hockey?_period_
positive,Recognizing skills,Yes_comma_ I think he saw my goalie skills and wanted me on his team_period_
neutral,Appreciating friendliness,Did you like how friendly [B-PER] was?_period_
positive,B-PER's kindness,Yes_comma_ he said he wanted to be my friend when he saw me_period_
neutral,Other sports played,Did you play any other sports with them?_period_
positive,Playing basketball,Yes_comma_ we played basketball but I have never played before_period_
neutral,Learning basketball,How did you learn how to play?_period_
positive,B-PER teaching,[B-PER] showed me the basics while I watched and listened_period_
neutral,Feeling after learning,How did you feel after he showed you the basics?_period_
positive,Excitement,I was excited when he was showing me how to play. I always wanted to learn_period_
neutral,Playing afterwards,Did you try to play afterwards?_period_
positive,Enjoying the game,I did and I really enjoyed playing with him_period_
neutral,Excitement to learn,Were you excited to learn how to play basketball?_period_
positive,Excitement,Yes_comma_ I always wanted to learn how to play it seemed fun_period_
neutral,Seeing others play,Did you ever see anyone play basketball?_period_
positive,Watching others,Yes_comma_I always saw kids in the park playing and I always wanted to learn_period_
neutral,Who taught you,Who taught you how to play?_period_
positive,B-PER teaching,[B-PER] taught me how to play by showing me basics_period_
neutral,Feeling about skills,How do you feel about the skills he showed you?_period_
positive,Desire to practice,I thought I could do it and wanted to practice more_period_
neutral,New friendships,Did you make any new friends while playing basketball?_period_
positive,Became closer with [B-PER],Yes_comma_ I became closer with [B-PER] and met his friends_period_
neutral,Prior experience,Did you play prior to this?_period_
negative,No prior experience,No I never have had the opportunity to play basketball_period_
neutral,Learning how to play,Did they show you how to play?_period_
positive,B-PER teaching,Yes_comma_ [B-PER] showed me basics so i could learn_period_
neutral,Readiness to play,Were you ready to play after he demonstrated?_period_
positive,Excitement to play,Yes_comma_ I always wanted to learn so I was ready to go_period_
neutral,Outcome of the game,How was the outcome of the game?_period_
positive,Winning score,We won 4-1 we were all very happy. We played for 40 minutes to!_period_
neutral,Fun level,Did you have fun playing?_period_
positive,Enjoyable time,Yes_comma_ I had a great time and thanked [B-PER] after_period_
neutral,Desire to continue playing,Did you want to continue to play?_period_
positive,Willingness to play more,Yes_comma_ I had so much fun I wanted to play more with them_period_
neutral,Post-game activities,Did you guys hang out after playing?_period_
negative,No hangout,No we all had to go home and I said bye to [B-PER]_period_
neutral,Playing time,How long did you play before going home?_period_
positive,Game duration,We played for 40 minutes and then we went home!_period_
neutral,Final score,What was the final score of the game?_period_
positive,Winning score,The end score of the game was 4-1_period_
neutral,Desire to play again,Did you want to play more with him another time?_period_
positive,Future plans,Yes_comma_ we wanted to plan something soon_period_
neutral,Desire to be friends,Did you want to be friends with [B-PER] after that?_period_
positive,Desire for friendship,Yes_comma_ I wanted to become better friends with him_period_
neutral,Outcome of the game,Did you win your game?_period_
positive,Winning score,Yes_comma_ we won 4-1 I was really proud of us_period_
neutral,Playing time,How long did you play for?_period_
positive,Game duration,We played for 40 minutes. It was exhausting_period_
neutral,Desire to play again,Did you want to play again?_period_
positive,Weekly play,Yes_comma_ we wanted to play every week_period_
neutral,Playing again with [B-PER],Did you and [B-PER] play again?_period_
positive,Desire to talk more,Yes_comma_ we wanted to talk more soon and I wanted to be his friend_period_
neutral,Travel home,How did you get home from school?_period_
positive,Bus ride,I took the bus home and it was a very long ride_period_
neutral,Family member at home,Who did you see when you got home from school?_period_
positive,Seeing brother,I saw my brother after I got off the bus_period_
neutral,Conversation topic,What did you talk to him about?_period_
positive,Hockey conversation,I told him that I played hockey and I played goalie_period_
neutral,Position of brother,What position does your brother play?_period_
positive,Brother's position,In hockey he played the forward position_period_
neutral,End of the day,How did the end of your day go after playing sports?_period_
negative,Dreading the bus ride,I got on the bus and I was dreading it the whole way home_period_
neutral,Preparing for camping,What did you have to do when you got home?_period_
positive,Excitement for camping,I had to get ready for camping. We went every year and I always looked forward to it_period_
neutral,First thing after getting home,What happened when you first got home?_period_
positive,Talking about hockey,I went inside and talked to my brother how I played hockey_period_
positive,Brother's reaction,I am sure he was excited about that. How did he react?_period_
positive,Brother's excitement,He was excited and wanted to play with me when we got home from camp_period_
neutral,Feeling after the first day,After the first day_comma_were you happy to be home?_period_
positive,Excitement for summer,Yes the bus ride was annoying and I was just excited for summer_period_
neutral,Spending summers,How did you spend your summers?_period_
positive,Camping in summer,We usually go camping which is a blast_period_
neutral,Timing of camping,Did you go right after school ended?_period_
positive,Camping plans,Yes_comma_ as soon as we got home I planned to get ready_period_
neutral,Talking to brother,What else did you do when you got home?_period_
positive,Talking about hockey,I talked to my brother about hockey_period_
neutral,Camping departure,When did your family leave for camp?_period_
positive,Leaving at the end of summer,We left at the end of the summer because we stayed the whole time_period_
neutral,Location of camping,Where did your family go camping?_period_
positive,Camping at [B-LOC]utauqua [I-LOC],Every year we went to [B-LOC]utauqua [I-LOC] and it was the best time_period_
neutral,What was missed most,What did you miss the most when you left?_period_
positive,Missing family time,I missed swimming in the lake with my Dad_period_
positive,Quality family time,That's so nice you were able to have quality family time every summer_period_
neutral,Excitement after camp,Were you excited to play hockey after leaving the camp?_period_
positive,Excitement for practice,Yes_comma_ my brother said we would practice more and I would get so much better_period_
neutral,Brother's pride,Were you excited when he said that to you?_period_
positive,Brother's pride,Yes_comma_ he also was very proud of me which felt good_period_
neutral,What was missed most after camp,What did you miss most after leaving the lake?_period_
positive,Missing family and friends,Swimming with my family and all the friends I have camping_period_
positive,Camping is home away from home,That sounds so nice. Camping is really your home away from home_period_
neutral,Leaving the lake,Did you look forward to anything leaving the lake?_period_
positive,Excitement for hockey,I was excited to practice hockey more with my brother_period_
neutral,Family presence at camp,Did your whole family stay in the lake for the summer?_period_
negative,Father's schedule,No_comma_ my dad would only come on the weekends because of work. He saved all his time off during the year for it_period_
neutral,Dislike of any activity,Is there any activity you didn't enjoy when being at the lake?_period_
negative,Boat anxiety,We would sometimes go on the boat and the boat always made me nervous_period_
neutral,Relationships with other campers,Were you close with the people that were camping?_period_
positive,Close family friends,Yes_comma_ my family had a lot of friends that we were sad to leave at the end of the summer_period_
neutral,Friendships at camp,Did you have close friends up at the camp?_period_
positive,Close camp friends,Yes_comma_ they were great people that we considered family_period_
neutral,Fun activities together,Would you guys do anything fun together?_period_
positive,Fun in sandbox,Yes_comma_ we would go in the sandbox that I would personally be in all the time_period_
neutral,Spending time in the sandbox,That's so fun! Would you always be with them in the sandbox?_period_
positive,Always together in sandbox,Yes_comma_ I couldn't go anywhere in the sandbox by myself so my friends would always accompany me_period_
positive,Good friendships,That's so nice that you had such good friends!_period_
positive,Gratitude for friends,Yes_comma_ I was very lucky to make such good friends at the camp_period_
neutral,Living with others,How was it living with other people?_period_
positive,Memorable experience,It was very memorable and we considered them apart of our family_period_
neutral,Relationships with others,How was your relationship like with them?_period_
positive,Good relationships,We got along very well and they were always very kind to us_period_
neutral,New friendships,Did you make any other friends in the community?_period_
positive,Friends in the sandbox,Yes I was able to make some friends that would play in the sandbox with me_period_
positive,Special memories,It sounds like you have made such great memories at this place!_period_
positive,Grateful for memories,Yes I miss these special days so much right now_period_
neutral,Becoming close,How did you become so close with them?_period_
positive,Spending time together,My parents were working constantly so we spent a lot of time with them. We consider them our family_period_
positive,Feeling close to camp friends,That's so nice you are so close with them_period_
neutral,Looking out for each other,They always looked after us. They truly became our second parents during the summer_period_
positive,Bond with camp family,Bonds like that are so special. That is so heartwarming_period_
positive,Gratitude for camp family,Yes_comma_ I am very grateful and lucky to have them_period_
positive,Special camp family,It sounds like they are very grateful for you too_period_
positive,Special summer family,Yes_comma_ that's why our summer family is very special_period_
neutral,Most relaxing activity,What is the most relaxing thing you do camping?_period_
positive,Relaxing walks,The most relaxing thing we do is go on a walk after dinner. It's always so peaceful_period_
neutral,Post-walk activities,Would you guys do anything after your family walk or that was the end of your day?_period_
positive,Campfire activities,Our Mom and Dad would start a campfire_period_
neutral,Cooking with campfire,Would your family cook anything in the campfire?_period_
positive,Camp pie,We would make camp pie which is my favorite sweet treat!_period_
neutral,How to make camp pie,How would you make camp pie?_period_
positive,Recipe for camp pie,You would get two pieces of bread and put apple filling on one side. Then_comma_you put in the camp pie from 5 to 7 minutes_period_
neutral,Post-dinner activities,Would you do anything with your family after dinner time?_period_
positive,Family walks,My family and I would go on walks with another after dinner_period_
neutral,Enjoying family walks,Did you like going on family walks?_period_
positive,Relaxing walks,Yes it was always very relaxing_period_
neutral,Talking during walks,What would you guys talk about on your walks?_period_
positive,Family bonding time,We would always talk about how our days went. This was a very special time where our family was able to all be together and bond_period_
neutral,Post-walk activities,Would you guys do anything after your walk?_period_
positive,Campfire time,My mom and dad would start a campfire where we would roast marshmallows and make the camp pie. The pie was always delicious_period_
positive,Missing camping,Do you miss camping during the year?_period_
positive,Memories of camping,Yes I miss simpler times like that. Those moments with all of us were so memorable_period_
neutral,Camping activities,What did you guys do while camping?_period_
positive,Camping activities,We would roast marshmallows_comma_go on walks_comma_and make pie together_period_
